fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
30,"[0.00012828 0.00102005 0.00064508 0.00027061 0.00061096 0.00066238
 0.00034865 0.00157195 0.00116381 0.00082075]","[7.36317081e-04 3.28494534e-06 1.39152795e-04 1.61526871e-04
 8.37963835e-04 1.51565916e-03 2.08104888e-04 9.96775100e-05
 2.10881631e-04 6.00525731e-04]","[0.0014026  0.0139681  0.00569517 0.0032055  0.00813133 0.00550335
 0.00444997 0.01860624 0.01526143 0.0093766 ]","[2.36892598e-03 1.29485793e-03 1.90734531e-03 3.88274902e-05
 1.60972131e-04 2.49844933e-05 1.80119119e-03 5.91211856e-05
 8.85238842e-04 1.40190290e-03]"
31,"[0.00013554 0.0010547  0.00066536 0.00025645 0.00062923 0.00067757
 0.00034833 0.00161637 0.00118938 0.00088321]","[1.02044321e-04 9.04808154e-04 7.20593597e-04 1.35888123e-05
 1.61457127e-03 1.36497539e-03 1.90108932e-04 1.04726971e-05
 6.96628906e-04 5.36273227e-04]","[0.00143248 0.01400047 0.00560495 0.00320572 0.00810628 0.00546394
 0.0044743  0.01847039 0.01528285 0.00929333]","[1.17335878e-03 2.35755038e-08 5.51599849e-03 2.99794004e-05
 1.16286332e-03 1.60123571e-03 8.28229704e-04 5.49321484e-03
 2.83215724e-05 4.73267272e-03]"
32,"[0.00012047 0.0009635  0.00070339 0.00023441 0.00056946 0.00070124
 0.00031872 0.0015297  0.00110951 0.00088002]","[0.0001053  0.0002339  0.00225887 0.00223    0.00065308 0.00333959
 0.00136614 0.00103901 0.00390834 0.00897765]","[0.00145385 0.01390396 0.005344   0.00319175 0.00808635 0.00520993
 0.00445065 0.01850475 0.01509694 0.00884483]","[0.00031891 0.00386062 0.01595411 0.00058878 0.00196036 0.01176176
 0.00177432 0.00411852 0.00746473 0.02267264]"
33,"[0.00012697 0.00100208 0.00066424 0.00023535 0.00058768 0.00068367
 0.00032664 0.00149161 0.00111605 0.0008702 ]","[1.17938718e-03 9.19267086e-06 1.51192496e-02 1.32494179e-05
 9.80332706e-04 7.85317667e-03 9.42627048e-04 1.43828250e-02
 3.69704401e-07 1.42373538e-02]","[0.00138274 0.01395281 0.00487699 0.00320471 0.0081314  0.00508237
 0.00443775 0.0181005  0.01525244 0.00862206]","[3.16317165e-03 1.90658933e-03 3.46343021e-02 7.03215671e-05
 1.58195317e-04 1.68638413e-02 2.29022404e-03 2.02887050e-02
 1.24458761e-03 3.15833814e-02]"
34,"[0.00012355 0.00092604 0.00070857 0.00023368 0.00056208 0.00070088
 0.0003332  0.00145301 0.00113085 0.00088517]","[1.31025089e-03 2.34197486e-02 3.74027973e-07 1.46230164e-03
 1.36510561e-02 1.35489999e-03 4.17247977e-06 2.36073085e-02
 1.31779079e-02 1.50944924e-03]","[0.00141679 0.0127978  0.00574267 0.00313574 0.0073531  0.00545304
 0.00449212 0.0173753  0.01459347 0.00933357]","[1.80133261e-03 4.81067908e-02 7.26650332e-06 2.82914822e-03
 3.12902470e-02 2.03741685e-03 1.15511530e-04 4.92965431e-02
 2.76034517e-02 3.12317606e-03]"
35,"[0.00013291 0.00099307 0.0006427  0.00022356 0.00056472 0.00062311
 0.00032221 0.00149766 0.00119193 0.00085342]","[0.00067488 0.00119081 0.00989983 0.00245609 0.00365862 0.01574433
 0.0057059  0.00422368 0.00022653 0.0024939 ]","[0.00143135 0.01400012 0.00568819 0.00320496 0.0081111  0.00533723
 0.00447661 0.01854391 0.01528315 0.00933727]","[1.21856655e-03 1.41498185e-05 2.18639395e-03 6.05845902e-05
 9.70094998e-04 6.66947670e-03 7.35731023e-04 2.55232254e-03
 1.61763707e-05 2.97488452e-03]"
36,"[0.00012717 0.00095964 0.00067298 0.00022395 0.00057217 0.00069939
 0.00033066 0.00150741 0.00116528 0.00087013]","[9.71531774e-08 1.27281828e-03 4.95000827e-03 4.46084415e-03
 1.29515579e-03 4.99396470e-03 4.50257711e-03 1.20268272e-03
 9.68017046e-04 1.27216627e-05]","[0.00145597 0.01396416 0.00566392 0.00300693 0.00812234 0.00546215
 0.00435792 0.01859954 0.01521794 0.00938417]","[0.00023384 0.00145223 0.00315735 0.00798173 0.00052059 0.00167269
 0.00548322 0.00032696 0.00262476 0.00109894]"
37,"[0.0001312  0.00101819 0.00068879 0.00023874 0.00061104 0.00068953
 0.00033062 0.0015534  0.00118944 0.00088447]","[9.01741061e-08 1.43866314e-03 4.73657479e-04 8.88232188e-07
 1.46153314e-03 4.60676825e-04 1.54442942e-06 3.56330039e-03
 1.36805684e-03 5.15568526e-04]","[0.00146174 0.01385139 0.00573134 0.00318573 0.00797917 0.00549433
 0.00447156 0.01836428 0.01522495 0.00934849]","[3.30870006e-06 5.96313206e-03 4.60433027e-04 8.29713909e-04
 6.24736933e-03 3.85679321e-04 9.37813342e-04 9.73754936e-03
 2.34416364e-03 2.52631470e-03]"
38,"[0.00012411 0.00097792 0.00069203 0.00024323 0.00059108 0.00069025
 0.00035372 0.00152211 0.00118306 0.00090517]","[1.78194995e-04 1.13165321e-05 4.70546021e-05 7.71895965e-04
 9.96995150e-05 4.21114572e-05 2.08341682e-04 1.22194315e-05
 5.96288069e-04 4.37787833e-04]","[0.00146141 0.01393651 0.00573849 0.00318969 0.00806072 0.00550188
 0.00448307 0.01850598 0.0151373  0.00940762]","[1.64566445e-05 2.55855478e-03 1.74555801e-04 6.71073798e-04
 2.98540259e-03 8.38191108e-05 4.77353156e-04 4.06968917e-03
 5.85029954e-03 1.61115685e-04]"
39,"[0.00012555 0.0009972  0.00064395 0.00024538 0.00060339 0.00062916
 0.00034053 0.00150722 0.00120287 0.00083933]","[0.00019036 0.00619393 0.01076977 0.00257151 0.00421258 0.00809646
 0.00136256 0.0006288  0.00078352 0.00281615]","[0.00145444 0.01366347 0.00563263 0.0030701  0.00789072 0.00544341
 0.0044147  0.01854596 0.01523894 0.00941025]","[2.95244039e-04 1.34800684e-02 4.40900475e-03 5.45489905e-03
 9.78537019e-03 2.42237906e-03 3.21201273e-03 2.47042399e-03
 1.78475903e-03 5.56061244e-05]"
