fold,train_mse,test_mse,train_mse_dummy,test_mse_dummy
30,"[0.00020044 0.00064465 0.00033006 0.00069617 0.00128681 0.00026965
 0.00128977 0.00131977 0.00041638 0.00118177]","[4.23952134e-04 9.64769785e-04 4.32916781e-04 1.02243879e-03
 1.09634418e-04 4.68957933e-08 1.29629583e-04 1.05146385e-04
 8.36956566e-07 1.24745320e-04]","[0.00233966 0.00854518 0.00447054 0.01094002 0.01762992 0.00396741
 0.02052128 0.01895756 0.00454514 0.01875403]","[1.17716670e-03 4.52701096e-04 2.81995044e-03 4.82154303e-05
 1.69861420e-04 3.53189724e-04 1.70185920e-03 1.01292177e-03
 7.96397004e-04 3.60563485e-03]"
31,"[0.00020298 0.00059791 0.00031404 0.00068936 0.00120753 0.00027542
 0.00128642 0.00125363 0.0003913  0.00115139]","[3.11110499e-05 2.78076888e-04 6.65695345e-04 5.03343419e-03
 4.95212280e-04 4.08983664e-04 4.27310245e-03 1.80427090e-03
 7.67767398e-03 2.03812765e-03]","[0.00234617 0.00850908 0.00450294 0.01086433 0.01749791 0.00397433
 0.02054798 0.01881237 0.00431998 0.01883742]","[9.16801267e-04 1.89644992e-03 1.52395385e-03 3.07589297e-03
 5.45042216e-03 7.67222739e-05 6.34133489e-04 6.82046385e-03
 9.80277846e-03 2.69711055e-04]"
32,"[0.00021877 0.0006143  0.00034742 0.00075351 0.00126373 0.00028147
 0.00141226 0.0013285  0.00041724 0.00129589]","[2.31365148e-04 1.13267670e-04 9.18676579e-03 7.84339080e-04
 2.08662894e-05 6.50231378e-03 1.63721300e-04 7.25987311e-03
 3.01485084e-04 4.60247769e-03]","[0.00234174 0.00855187 0.00446623 0.01091701 0.01757969 0.00396455
 0.02046078 0.01886623 0.00455738 0.01866   ]","[0.00109413 0.00018511 0.00299254 0.00096874 0.00217932 0.0004677
 0.00412194 0.0046662  0.00030692 0.00736656]"
33,"[0.00022504 0.00064639 0.00034257 0.00076453 0.0013383  0.00028192
 0.00141557 0.00135027 0.000435   0.00126076]","[8.14230339e-04 9.11301045e-06 9.22145148e-05 5.53266961e-05
 6.51063466e-04 3.58416184e-04 4.45063575e-04 4.33498800e-05
 1.95312325e-05 4.68569738e-06]","[0.00230471 0.00853931 0.00450423 0.01094116 0.01748608 0.00397241
 0.0204953  0.01887859 0.00454991 0.01880421]","[2.57507697e-03 6.87489800e-04 1.47219010e-03 2.59741748e-06
 5.92364862e-03 1.53167521e-04 2.74124150e-03 4.17175911e-03
 6.05572177e-04 1.59846278e-03]"
34,"[0.00020729 0.00064141 0.00033705 0.00069819 0.00130092 0.0002686
 0.00128205 0.00138027 0.0003758  0.00117322]","[2.08840885e-03 3.29684244e-05 4.05347812e-07 1.69713294e-02
 1.59658570e-03 2.03062375e-03 3.09665556e-02 2.60624991e-05
 1.85003166e-02 1.71376178e-02]","[0.00229027 0.00854632 0.00453084 0.00985946 0.01748855 0.00383053
 0.01881926 0.01898289 0.00368291 0.01796226]","[3.15266398e-03 4.06890485e-04 4.07884153e-04 4.32706432e-02
 5.82475996e-03 5.82851787e-03 6.97829132e-02 6.05920422e-10
 3.52855344e-02 3.52762873e-02]"
35,"[0.00019802 0.0006334  0.00031103 0.00065314 0.00126456 0.00025945
 0.00124899 0.00133179 0.00037576 0.00118822]","[8.94883000e-04 1.44507826e-04 6.22198333e-03 5.60998136e-03
 3.20175707e-04 2.39756676e-03 2.02366945e-03 4.47004681e-03
 3.95372689e-03 1.58383359e-05]","[0.00234453 0.00851603 0.00451946 0.01091059 0.0176322  0.00397615
 0.0205635  0.01897994 0.00456437 0.01884337]","[9.82507680e-04 1.61845718e-03 8.63098252e-04 1.22557407e-03
 7.89445523e-05 3.86690471e-06 1.34191921e-05 1.17755473e-04
 2.72677503e-05 3.16931419e-05]"
36,"[0.00020426 0.00060853 0.00032244 0.00065585 0.00122531 0.00028025
 0.00124717 0.00127357 0.00037152 0.00116266]","[0.00011641 0.00124626 0.00501206 0.00239085 0.00212444 0.0036008
 0.00145215 0.01125685 0.00708943 0.00047959]","[0.00236904 0.00843958 0.00434847 0.0109182  0.01751265 0.00378949
 0.02054278 0.01837331 0.00432133 0.01876176]","[1.78158429e-06 4.67649522e-03 7.70282858e-03 9.21200017e-04
 4.86083168e-03 7.47031772e-03 8.41958260e-04 2.43830301e-02
 9.74883363e-03 3.29642283e-03]"
37,"[0.00020823 0.00063645 0.0003252  0.00068697 0.00129138 0.00027096
 0.00128471 0.00129212 0.00037404 0.00115141]","[8.61951312e-06 3.24184268e-04 4.72540116e-05 2.77021714e-04
 2.27081304e-04 9.62372001e-05 1.87911144e-04 6.18978234e-04
 1.85272532e-06 5.53102187e-04]","[0.0023688  0.00849409 0.00452122 0.01084032 0.01756306 0.0039514
 0.02045192 0.018971   0.00456044 0.01881287]","[1.13816003e-05 2.49603256e-03 7.92600673e-04 4.03642140e-03
 2.84451263e-03 9.93940838e-04 4.47647973e-03 4.75551587e-04
 1.84213498e-04 1.25172124e-03]"
38,"[0.00020422 0.00061717 0.00032462 0.00061957 0.00125016 0.00026525
 0.00121122 0.00129706 0.00035198 0.00116593]","[5.23880649e-05 1.67135541e-07 1.16666425e-04 3.28828387e-06
 4.66371239e-05 3.25412134e-04 8.19264405e-05 1.25665119e-04
 4.93810496e-06 8.07816402e-05]","[0.00236904 0.00852677 0.00453807 0.01086323 0.01760693 0.00397241
 0.02048989 0.01893139 0.00455363 0.01873274]","[2.16995385e-06 1.18905715e-03 1.18904736e-04 3.11995431e-03
 1.08963579e-03 1.53200554e-04 2.95756234e-03 2.05998457e-03
 4.56841170e-04 4.45701723e-03]"
39,"[0.00021054 0.00062732 0.00030979 0.00067281 0.00127929 0.0002565
 0.00129053 0.00130824 0.00034057 0.00121284]","[4.31893345e-04 7.61282765e-04 6.85466193e-03 6.99957209e-03
 2.33998553e-03 1.07277660e-02 1.09088602e-02 3.04720921e-03
 3.14407953e-03 7.57874038e-07]","[0.00233879 0.00848689 0.00432656 0.01051102 0.01744242 0.00357023
 0.01987497 0.01894316 0.00441132 0.018807  ]","[0.00121203 0.00278401 0.00857933 0.01720842 0.00766989 0.01624067
 0.02755437 0.0015889  0.00614926 0.00148658]"
