DATASET,DEEP4,RFPCT,CC,Ada300,TREMLC,VBS,VBS_value,SBS_DEEP4,SBS_RFPCT,SBS_CC,SBS_Ada300,SBS_TREMLC,AS-R-MO,AS-R-MO_algo_name,AS-R-SO,AS-R-SO_algo_name,AS-C-SO,AS-C-SO_algo_name,AS-PR-MO,AS-PR-MO_algo_name,AS-PR-SO,AS-PR-SO_algo_name,AS-PC-MO,AS-PC-MO_algo_name,AS-PC-SO,AS-PC-SO_algo_name,AS-CS-PC-SO,AS-CS-PC-SO_algo_name
PROTEINS_HUMAN,0.8885994790623122,0.0550991785213384,0.0616108996193147,0.0277499499098377,0.0215387697856141,['TREMLC'],0.0215387697856141,0.8670607092766981,0.0335604087357243,0.0400721298337006,0.0062111801242236,0.0,0.0,TREMLC,0.0,TREMLC,0.0,TREMLC,0.0,TREMLC,0.0062111801242236,Ada300,0.0,TREMLC,0.0,TREMLC,0.0,TREMLC
PROTEINS_PLANT,0.910011574074074,0.0726273148148148,0.0792824074074074,0.0211226851851851,0.0130208333333333,['TREMLC'],0.0130208333333333,0.8969907407407407,0.059606481481481496,0.0662615740740741,0.0081018518518518,0.0,0.0,TREMLC,0.0081018518518518,Ada300,0.0,TREMLC,0.0,TREMLC,0.0081018518518518,Ada300,0.0,TREMLC,0.0,TREMLC,0.0,TREMLC
PROTEINS_VIRUS,0.793010752688172,0.1397849462365591,0.2284946236559139,0.0456989247311828,0.0349462365591397,['TREMLC'],0.0349462365591397,0.7580645161290323,0.1048387096774194,0.1935483870967742,0.010752688172043098,0.0,0.0,TREMLC,0.010752688172043098,Ada300,0.0,TREMLC,0.0,TREMLC,0.0,TREMLC,0.0,TREMLC,0.0,TREMLC,0.0,TREMLC
REUTERSK500,0.0139613589002148,0.0143571393955058,0.0114251328691662,0.0121157294476842,0.0135090383341679,['CC'],0.0114251328691662,0.0025362260310486003,0.0029320065263395995,0.0,0.000690596578517999,0.002083905465001699,0.0,CC,0.0029320065263395995,RFPCT,0.0025362260310486003,DEEP4,0.0,CC,0.0,CC,0.0025362260310486003,DEEP4,0.0025362260310486003,DEEP4,0.0025362260310486003,DEEP4
SCENE,0.1078125,0.0878472222222222,0.0800347222222222,0.0786458333333333,0.0807291666666666,['Ada300'],0.0786458333333333,0.029166666666666702,0.009201388888888898,0.0013888888888888978,0.0,0.002083333333333298,0.0013888888888888978,CC,0.0,Ada300,0.0013888888888888978,CC,0.002083333333333298,TREMLC,0.002083333333333298,TREMLC,0.0013888888888888978,CC,0.0013888888888888978,CC,0.0013888888888888978,CC
SLASHDOT,0.0440725830679565,0.0481884275671453,0.0431412605900378,0.0481283422459893,0.0596346812473712,['CC'],0.0431412605900378,0.0009313224779187029,0.005047166977107505,0.0,0.004987081655951506,0.016493420657333405,0.016493420657333405,TREMLC,0.0,CC,0.004987081655951506,Ada300,0.0,CC,0.0,CC,0.0,CC,0.0,CC,0.0,CC
STACKEX_CHESS,0.0102242093497271,0.0162864093628772,0.0113156683542639,0.0151949503583404,0.0858608652144445,['DEEP4'],0.0102242093497271,0.0,0.006062200013150099,0.001091459004536801,0.0049707410086133,0.0756366558647174,0.0049707410086133,Ada300,0.0049707410086133,Ada300,0.0,DEEP4,0.001091459004536801,CC,0.0030311000065750514,"CC,Ada300",0.0,DEEP4,0.0,DEEP4,0.0,DEEP4
STACKEX_CS,0.0091736723556592,0.0106366683751318,0.0094407427699522,0.0093877214377028,0.0108389349388978,['DEEP4'],0.0091736723556592,0.0,0.0014629960194726,0.0002670704142929987,0.0002140490820435985,0.0016652625832385987,0.0002140490820435985,Ada300,0.0002670704142929987,CC,0.0,DEEP4,0.0002140490820435985,Ada300,0.0001603731654455324,"DEEP4,Ada300,CC",0.0,DEEP4,0.0,DEEP4,0.0,DEEP4
STACKEX_PHILOSOPHY,0.0092707095689564,0.015766402905415,0.0138023380185306,0.0102379239645552,0.0112859640756636,['DEEP4'],0.0092707095689564,0.0,0.006495693336458599,0.0045316284495742,0.0009672143955988012,0.0020152545067072,0.0,DEEP4,0.0045316284495742,CC,0.0,DEEP4,0.0045316284495742,CC,0.0,DEEP4,0.0,DEEP4,0.0,DEEP4,0.0,DEEP4
TMC2007_500,0.0652789454482003,0.0491822781999016,0.0609048079821068,0.0673886835551466,0.0477546358718928,['TREMLC'],0.0477546358718928,0.017524309576307504,0.0014276423280088005,0.013150172110214,0.019634047683253802,0.0,0.0014276423280088005,RFPCT,0.013150172110214,CC,0.013150172110214,CC,0.0,TREMLC,0.019634047683253802,Ada300,0.004859271479407595,"RFPCT,CC,TREMLC",0.013150172110214,CC,0.006575086055106996,"CC,TREMLC"
VIRUSGO,0.0661764705882353,0.0416666666666666,0.0245098039215686,0.0686274509803921,0.0465686274509803,['CC'],0.0245098039215686,0.0416666666666667,0.017156862745098003,0.0,0.0441176470588235,0.022058823529411704,0.0,CC,0.017156862745098003,RFPCT,0.022058823529411704,TREMLC,0.022058823529411704,TREMLC,0.019607843137254857,"RFPCT,TREMLC",0.022058823529411704,TREMLC,0.022058823529411704,TREMLC,0.022058823529411704,TREMLC
VIRUS_PSEAAC,0.2377450980392156,0.213235294117647,0.2009803921568627,0.2205882352941176,0.1936274509803921,['TREMLC'],0.1936274509803921,0.044117647058823484,0.019607843137254888,0.00735294117647059,0.026960784313725505,0.0,0.00735294117647059,CC,0.0,TREMLC,0.00735294117647059,CC,0.00735294117647059,CC,0.00735294117647059,CC,0.00735294117647059,CC,0.00735294117647059,CC,0.00735294117647059,CC
WATER_QUALITY,0.3438395415472779,0.2799836266884977,0.3061809250920999,0.3168235775685632,0.2820302906262791,['RFPCT'],0.2799836266884977,0.06385591485878023,0.0,0.026197298403602187,0.03683995088006553,0.002046663937781412,0.002046663937781412,TREMLC,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT,0.0,RFPCT
YEAST,0.2555030285123356,0.1967794356625794,0.2325306544541291,0.2230019205200177,0.1930861279361796,['TREMLC'],0.1930861279361796,0.06241690057615598,0.003693307726399808,0.039444526517949496,0.029915792583838086,0.0,0.003693307726399808,RFPCT,0.0,TREMLC,0.003693307726399808,RFPCT,0.003693307726399808,RFPCT,0.0,TREMLC,0.0,TREMLC,0.0,TREMLC,0.0,TREMLC
YELP,0.2379242636746143,0.1320617110799439,0.1422720897615708,0.1773352033660589,0.1211781206171108,['TREMLC'],0.1211781206171108,0.11674614305750351,0.010883590462833118,0.021093969144460004,0.05615708274894811,0.0,0.010883590462833118,RFPCT,0.010883590462833118,RFPCT,0.010883590462833118,RFPCT,0.010883590462833118,RFPCT,0.010883590462833118,RFPCT,0.010883590462833118,RFPCT,0.0,TREMLC,0.010883590462833118,RFPCT
